<	100
s	100
c	100
r	100
i	100
p	100
t	100
 	100
r	100
u	100
n	100
a	100
t	100
=	100
"	100
s	100
e	100
r	100
v	100
e	100
r	100
"	100
>	100
{ENTER}	100
p	100
r	100
o	100
t	100
e	100
c	100
t	100
e	100
d	100
 	100
v	100
o	100
i	100
d	100
 	100
P	100
a	100
g	100
e	100
_	100
I	100
n	100
i	100
t	100
(	100
)	100
 	100
{	100
{ENTER}	100
i	100
n	100
t	100
 	100
i	100
 	100
=	100
 	100
1	100
;	100
{ENTER}	100
w	100
h	100
i	100
l	100
e	100
 	100
(	100
i	100
 	100
<	100
 	100
1	100
0	100
)	100
 	100
{	100
{ENTER}	100
C	100
o	100
n	100
s	100
o	100
l	100
e	100
.	100
W	100
r	100
i	100
t	100
e	100
L	100
i	100
n	100
e	100
(	100
"	100
t	100
e	100
s	100
t	100
"	100
)	100
;	100
{ENTER}	100
i	100
 	100
=	100
 	100
i	100
 	100
+	100
 	100
1	100
;	100
{ENTER}	100
}	100
